status/scripts,REPORTID,USERID,REPORTTYPEID,ADDEDBY,HOSTID,LATITUDE,LONGITUDE,RADIUSIMPACT,DESCRIPTION,PRICE,REPORTSTATUSID,DATE,TIME,CREATEDTIME,LASTMODIFIEDTIME,ADDRESS,TOTALNUMBERINJURED,TOTALNUMBERKILLED,VEHICLETYPECODE
,,,,,,5204540.17119,-7911564.62999,,,,,2016-01-26,05:21:00,,,,,,
,,,,,,5204948.21528,-7914344.59229,,,,,2016-01-27,07:23:00,,,,,,
,,,,,,5209603.30403,-7909837.15771,,,,,2016-01-27,07:11:00,,,,,,
,,,,,,5206415.3624,-7913119.34389,,,,,2016-01-27,09:42:00,,,,,,
,,,,,,5212964.58271,-7908098.05104,,,,,2016-01-27,09:53:00,,,,,,
,,,,,,5208773.28275,-7914956.27448,,,,,2016-01-27,12:18:00,,,,,,
,,,,,,5207083.01994,-7910111.20055,,,,,2016-01-27,01:23:00,,,,,,
,,,,,,5200214.57441,-7921837.20272,,,,,2016-01-27,06:29:00,,,,,,
,,,,,,5202837.64564,-7911422.68314,,,,,2016-01-27,07:22:00,,,,,,
,,,,,,5209287.26944,-7913920.06574,,,,,2016-01-28,08:19:00,,,,,,
,,,,,,5217095.05641,-7907929.57326,,,,,2016-01-28,09:38:00,,,,,,
,,,,,,5205932.06506,-7911815.08637,,,,,2016-01-28,02:49:00,,,,,,
,,,,,,5213148.86292,-7921539.50664,,,,,2016-01-28,03:32:00,,,,,,
,,,,,,5218070.46103,-7906507.7711,,,,,2016-01-28,03:35:00,,,,,,
,,,,,,5217304.3067,-7911148.84152,,,,,2016-01-28,05:38:00,,,,,,
,,,,,,5207445.13709,-7913179.61291,,,,,2016-01-28,06:58:00,,,,,,
,,,,,,5201550.79971,-7914624.54091,,,,,2016-01-29,12:09:00,,,,,,
,,,,,,5201745.11078,-7912279.32759,,,,,2016-01-29,02:04:00,,,,,,
,,,,,,5217987.70516,-7911594.00544,,,,,2016-01-29,06:48:00,,,,,,
,,,,,,5203628.89348,-7910754.74337,,,,,2016-01-29,09:55:00,,,,,,
